RecordType.Name,Hierarchy_Root__r.External_Id__c,Skill_Name__c,Hierarchy_Parent_Branch__r.External_Id__c,External_Id__c
Hierarchy Branch Node,Sports,Pitching,Baseball,BASEBALL_Pitching
Hierarchy Branch Node,Sports,Bating,Baseball,BASEBALL_Bating
Hierarchy Branch Node,Sports,Fielding,Baseball,BASEBALL_Fielding
Hierarchy Branch Node,Sports,Shooting,Basketball,BASKETBALL_Shooting
Hierarchy Branch Node,Sports,Defense,Basketball,BASKETBALL_Defense
Hierarchy Branch Node,Sports,Play Calling,Basketball,BASKETBALL_Play_Calling
Hierarchy Branch Node,Sports,Offense,Football,FOOTBALL_Offense
Hierarchy Branch Node,Sports,Defense,Football,FOOTBALL_Defense
Hierarchy Branch Node,Sports,Special Teams,Football,FOOTBALL_Special_Teams
Hierarchy Branch Node,Sports,Dribbling,Basketball,BASKETBALL_Dribbling
