RecordType.Name,Hierarchy_Root__r.External_Id__c,Skill_Name__c,Hierarchy_Parent_Branch__r.External_Id__c,External_Id__c
Hierarchy Branch Node,Sports,Ball Throwing,BASEBALL_Curve_Ball,BASEBALL_Ball_Throwing
,Sports,Ball Throwing,BASKETBALL_Shooting,BASKETBALL_Ball_Throwing
,Sports,Blocking,BASKETBALL_Defense,BASKETBALL_DEFENSE_BLOCKING
,Sports,Communication,BASKETBALL_Play_Calling,BASKETBALL_PLAY_CALLING_COMMUNICATION
,Sports,Ball Handling,BASKETBALL_Dribbling,BASKETBALL_DRIBBLING_BALL_HANDLING
,Sports,Ball Hitting,BASEBALL_Left_Handed_Batter,BASEBALL_LEFT_HANDED_BALL_HITTING
,Sports,Ball Hitting,BASEBALL_Right_Handed_Batter,BASEBALL_RIGHT_HANDED_BALL_HITTING
,Sports,Ball Catching,BASEBALL_Fly_Ball,BASEBALL_BALL_CATCHING
,Sports,Ball Throwing,FOOTBALL_Quarterback,FOOTBAL_BALL_THROWING
,Sports,Ball Handoff,FOOTBALL_Quarterback,FOOTBALL_BALL_HANDOFF
,Sports,Play Calling,FOOTBALL_Quarterback,FOOTBALL_PLAY_CALLING
,Sports,Ball Catching,FOOTBALL_Wide_Reciever,FOOTBALL_WIDE_RECEIVER_BALL_CATCHING
,Sports,Running,FOOTBALL_Wide_Reciever,FOOTBALL_WIDE_RECEIVER_RUNNING
,Sports,Ball Handling,FOOTBALL_Running_Back,FOOTBALL_BALL_HANDLING
,Sports,Running,FOOTBALL_Running_Back,FOOTBALL_RUNNING_BACK_RUNNING
,Sports,Blocking,FOOTBALL_Guard,FOOTBALL_OFFENSE_GUARD_BLOCKING
,Sports,Blocking,FOOTBALL_Tackle,FOOTBALL_OFFENSE_TACKLE_BLOCKING
,Sports,Blocking,FOOTBALL_Middle_Linebacker,FOOTBALL_OFFENSE_MIDDLE_LINEBACKER_BLOCKING
,Sports,Blocking,FOOTBALL_Safety,FOOTBALL_OFFENSE_SAFETY_BLOCKING
,Sports,Ball Catching,FOOTBALL_Safety,FOOTBALL_SAFETY_BALL_CATCHING
,Sports,Punting,FOOTBALL_Kicker,FOOTBALL_PUNTING
,Sports,Place Kicking,FOOTBALL_Kicker,FOOTBALL_PLACE_KICKING
,Sports,Ball Handling,FOOTBALL_Placeholder,FOOTBALL_PLACEHOLDER_BALL_HANDLING
